Row,smith09_01,smith09_02,smith09_03,smith09_04,smith09_05,smith09_06,smith09_07,smith09_08,smith09_09,smith09_10
melodicIC_001,0.02,0.02,0.1,-0,0.28,0.02,-0.02,0.04,0.01,0.04
melodicIC_002,-0.06,-0.01,-0.08,-0,-0.08,0.32,-0.13,-0.07,0.01,-0.03
melodicIC_003,-0,-0.02,0,0,0.08,0,-0,-0,-0.01,0.01
melodicIC_004,0.03,0,0.01,0,0.04,0.02,-0.01,0.02,0,0.03
melodicIC_005,-0.09,0.44,0.04,0.02,-0.06,-0.07,-0.02,0.01,-0.05,-0.01
melodicIC_006,-0.04,0.15,-0.13,0.03,0.04,-0.02,0.25,0.13,-0.02,0.02
melodicIC_007,0.01,-0.01,-0.01,0,0,0,-0.02,-0.02,-0,-0
melodicIC_008,-0.01,0.04,-0.07,-0.01,0.05,0.02,-0.18,0.17,0.16,0.05
melodicIC_009,-0.03,-0.08,0.03,-0.09,-0.04,0.03,-0.15,0.27,-0.04,-0.04
melodicIC_010,-0.02,-0.01,-0.02,0.02,-0,-0.08,-0.03,-0.02,-0.04,0
melodicIC_011,-0.04,-0.01,0.02,0.14,-0.08,-0.09,0,-0.06,-0.03,-0.07
melodicIC_012,-0,0.02,-0.02,0,-0.01,0.02,0,-0.04,0.02,-0.01
melodicIC_013,-0.01,0.02,-0.03,-0.05,0,NaN,-0.05,-0.03,-0.06,-0.02
melodicIC_014,-0,0.03,0.04,-0.02,-0.04,-0.04,-0.02,-0.01,0.01,-0.05
melodicIC_015,0.01,0.02,-0.02,-0,0.02,0.02,-0.03,0.01,0.02,0.01
melodicIC_016,-0.03,-0.01,0.03,0.1,0.01,0.01,-0.06,NaN,0.08,-0.04
melodicIC_017,-0.02,0.04,-0.02,0.02,0.17,-0.01,0,0.01,0.03,-0.01
melodicIC_018,-0.04,-0.03,0.03,0.02,-0,-0.03,-0.02,-0.01,-0.08,0.01
melodicIC_019,0.08,-0,-0.05,0.18,-0.06,0.05,-0.11,0.05,NaN,0.26
melodicIC_020,0.33,-0.09,0.23,0.16,-0.12,-0.07,-0.07,0.11,-0.08,-0.01
melodicIC_021,0.03,-0.04,-0.13,-0,-0,-0.06,-0.08,-0.05,0.03,0.02
melodicIC_022,0.01,-0.01,0.02,-0,0.11,0.01,-0.02,0.01,0.01,0.02
melodicIC_023,0.01,-0.02,0.03,-0.01,-0,0.12,-0.07,-0.03,-0.04,0.09
melodicIC_024,0.03,-0.02,-0.02,-0.02,-0.02,-0,-0.03,0,0.01,-0.02
melodicIC_025,-0.05,-0.02,0.09,0.04,-0.05,-0.01,0.09,-0.07,0.13,-0.11
melodicIC_026,-0.08,-0.03,0.07,-0.18,-0,0.02,-0.02,0.05,0.03,NaN
melodicIC_027,NaN,0.07,-0.02,0.01,-0.01,-0,-0.02,0,-0.03,-0.04
melodicIC_028,0,0,0,-0.01,-0.02,-0,-0.01,0,0.01,0.01
melodicIC_029,0.02,-0.03,0.03,0.06,-0.05,0.16,-0.13,0.02,0.01,0.09
melodicIC_030,0.01,-0.02,-0,-0.02,-0.01,-0.01,-0.03,0,0.06,-0.05
melodicIC_031,0.1,NaN,NaN,-0.07,-0,0.07,-0.11,0.01,0.01,-0
melodicIC_032,-0.04,-0.01,-0,0.02,0.09,-0.01,0.01,-0.02,-0,-0.02
melodicIC_033,0.01,-0,-0.04,-0.02,-0.05,-0.01,-0.05,-0.01,-0.02,-0.02
melodicIC_034,-0.01,-0,-0,0.04,-0.04,0,0.09,0.01,-0.06,0.18
melodicIC_035,-0.01,-0.02,-0.04,-0.03,0.02,0.07,0.13,0.03,-0.08,0.11
melodicIC_036,-0.01,-0.02,-0,0.02,0.1,-0,0.01,-0.01,0,-0.01
melodicIC_037,-0.01,0,-0.01,-0.03,-0.03,0.03,0,-0.02,-0.04,-0.01
melodicIC_038,0.08,0.01,-0.14,-0.1,-0.04,0.22,-0.06,-0.03,-0.09,-0.07
melodicIC_039,0.12,-0.13,0.26,-0.02,0.04,-0.05,0.07,-0.09,0.07,-0.15
melodicIC_040,-0.01,-0.02,0,-0.05,-0.03,-0,-0.04,0,-0.05,0.03
melodicIC_041,-0.04,-0.05,-0.02,0.02,0.05,-0.02,0.02,-0.05,-0.02,0
melodicIC_042,-0.05,0.09,0.07,0.05,0.04,-0.02,0.07,-0.04,0.18,-0.06
melodicIC_043,0.01,-0.01,-0.01,0.15,0.05,0.08,NaN,0.05,-0.02,-0.02
melodicIC_044,-0.02,-0.02,-0.01,-0.13,-0.05,0.01,0.16,0.08,0.28,-0.1
melodicIC_045,0,0.01,0,-0.05,-0.02,0.01,0.05,0.3,-0.03,0.02
melodicIC_046,-0.09,-0.05,0.19,0.05,0.03,0.36,0.02,-0.01,0.02,0.13
melodicIC_047,-0.01,-0.03,0.01,-0.01,-0.02,-0.02,0.21,-0.02,-0.1,0.13
melodicIC_048,-0.05,-0.01,-0.06,NaN,0.04,0.02,-0.06,0.05,-0.07,0.05
melodicIC_049,0.08,-0.03,0.06,0.01,-0.05,0.02,-0.02,-0,0.02,0.01
melodicIC_050,0.13,0,0.16,-0.03,NaN,0,-0.04,0.02,-0.01,0.05
melodicIC_051,0.01,-0.01,-0.04,-0.07,-0.09,-0.02,0.03,0.01,0.01,-0.05
melodicIC_052,0.11,0.01,0.16,0.02,-0.01,-0.07,0.01,-0.09,-0.09,0.16
melodicIC_053,0.02,0.07,-0.02,0.02,0.05,-0.03,-0.03,0.05,0,0.01
melodicIC_054,-0.01,-0.03,-0.01,-0.01,0,-0.02,-0.01,-0,-0,-0
melodicIC_055,0.03,-0.03,-0.04,-0.1,0.03,0.02,0.35,0.13,0.05,-0
melodicIC_056,-0.01,0.01,-0.01,-0.01,-0,0.04,-0.01,-0.02,-0,0
melodicIC_057,0.07,-0.01,-0.01,0,-0.02,0.37,0.16,0,0.03,0.02
melodicIC_058,0.16,0.05,-0.12,0.01,-0.03,0.17,0.09,0.32,0.12,0.01
melodicIC_059,-0.04,-0.06,0,-0.04,0,-0.03,-0.1,0.24,-0.04,-0
melodicIC_060,-0.01,0.01,0.02,0.01,-0.02,-0.01,-0.01,0.03,0.01,-0.01
melodicIC_061,0,-0.02,0.04,-0.05,-0.04,0.12,-0.01,-0.01,0.09,-0.07
melodicIC_062,0,-0.01,-0,-0.01,0.01,-0.01,-0.02,0.06,-0,-0.01
melodicIC_063,0.05,-0.02,0.05,0.16,-0.1,-0.03,0.19,-0.07,0.02,0.29
melodicIC_064,-0.03,-0.02,0.01,0,0.03,-0,-0.03,-0.01,0,-0
melodicIC_065,-0.02,0.03,-0,0.04,-0.01,0,-0.02,-0.03,0.02,0.02
melodicIC_066,0.02,-0.01,0.01,0.03,0,0.01,0.02,0,-0,-0.01
melodicIC_067,-0.11,-0.03,-0.09,-0.02,-0.02,-0.07,-0.07,-0,-0.03,-0.02
melodicIC_068,0.03,0.02,-0.01,-0.04,-0.04,0,-0.01,0.01,-0.03,-0.02
melodicIC_069,-0,-0.02,0,0.03,-0.01,-0.01,-0.05,0.01,0.02,-0.01
melodicIC_070,-0.01,0.01,-0.05,-0.03,0.03,-0.03,-0.03,0.01,0.01,0.02
melodicIC_071,0.02,0.01,0,-0.02,-0.02,0.04,0,-0.01,0.02,-0.01
melodicIC_072,-0.05,-0.07,0.2,0.01,0.01,0.04,0.17,0.01,0.28,-0.13
melodicIC_073,-0.01,0.02,0.02,0.06,-0.03,0.02,-0.01,-0.02,-0.02,-0.03
melodicIC_074,0.02,0.01,-0.03,-0,0.1,0,-0,0.03,-0.02,-0.02
melodicIC_075,0.06,-0.04,0.06,0.02,0.03,-0.05,0.02,0.01,-0.01,0.03
melodicIC_076,0.01,-0.01,0,-0,-0,0.01,0.02,0,0,-0
melodicIC_077,0,0,-0.01,0.01,0.01,-0,-0.01,-0.01,0.02,0
melodicIC_078,0.01,0.01,-0.03,0,0.01,0.01,-0,-0.01,-0.03,0.03
melodicIC_079,0.02,0,-0.06,-0,-0.02,-0.02,0.01,-0.02,-0.04,-0.02
melodicIC_080,0,-0,-0.01,0.01,-0.03,0.02,-0.02,-0.01,0.04,0
melodicIC_081,-0,0.01,0.02,0.01,0.1,0,-0.01,0,0.02,0.01
melodicIC_082,-0.04,-0.06,0.01,0.01,0,-0.03,-0,-0.02,0.01,-0.04
melodicIC_083,0.01,-0.01,-0.07,0,0.19,0.05,0.04,-0.01,-0,0.01
melodicIC_084,0.03,0.01,-0.03,-0.02,0,-0.03,-0.01,0,-0,0
melodicIC_085,0.01,0,-0,-0.02,-0.01,-0,-0.01,0.01,0.02,0.03
melodicIC_086,0.03,-0.05,0.01,0.01,-0.08,-0.05,0.03,-0.02,-0,0.01
melodicIC_087,0.01,0.02,-0.01,0.01,-0.01,-0.01,0,0.03,0.03,0.03
melodicIC_088,-0.02,-0.02,0.03,0.03,0,0.04,0.03,0.02,0.01,-0.01
melodicIC_089,-0.01,0.01,0.03,0,-0,0.02,-0.02,-0.02,-0.02,0.01
melodicIC_090,0.02,-0.01,-0.02,-0,0.01,-0,-0,-0,-0,-0.01
melodicIC_091,-0,-0.01,0.03,0.01,0.04,0.01,-0.02,-0.01,-0.02,0.02
melodicIC_092,0.03,0.01,-0.04,-0.01,-0.05,-0.02,0.01,-0,0.02,-0.05
melodicIC_093,-0.02,0.01,-0.02,0.02,0.1,-0.01,-0.01,-0.04,0.02,-0.03
melodicIC_094,-0.04,-0.02,0.07,0.01,-0.01,0.01,-0.01,0.01,-0.03,-0
melodicIC_095,0.02,0.02,-0.04,0.01,0.05,0.01,0,0.01,0,-0
melodicIC_096,-0,-0.01,0.01,0.01,-0.05,-0.06,-0,-0.01,0.01,-0.03
melodicIC_097,0.01,-0.03,0.01,-0.02,0.06,0,-0.02,0.01,-0.04,-0.01
melodicIC_098,-0.01,0.02,-0,0.02,-0.05,-0,0.01,-0.02,0.02,0
melodicIC_099,-0.03,-0.02,0.07,0.02,-0.04,0.01,0.04,0,0.05,-0.02
melodicIC_100,-0.02,-0.01,-0.01,0,0.01,-0.02,-0,0.02,-0,-0
melodicIC_101,0.03,0.03,-0.03,-0.01,-0.03,0,0.04,-0.01,0,-0.07
melodicIC_102,-0,0,0.06,0.04,-0.02,-0.03,0.02,-0.01,0.01,-0
melodicIC_103,0.04,0.02,-0.01,0.03,-0.02,-0.03,-0.01,0,0.04,-0.03
melodicIC_104,0.01,-0.01,0.01,0.03,-0.01,0.03,-0,-0.01,0.02,-0.05
melodicIC_105,0.05,0.03,-0.06,-0.02,0,0.05,-0.02,-0,0.02,0.02
melodicIC_106,0.04,0.02,0.05,0.05,0.01,0.02,0.04,-0.02,-0,0.05
melodicIC_107,0.01,0.01,-0.01,0.01,0.12,-0.04,-0.01,0.01,0.03,0.01
melodicIC_108,0.05,0,-0.04,0.02,-0.03,0.03,-0.02,-0.04,0.05,0.01
melodicIC_109,-0.01,-0.01,0.01,0,0.11,-0.01,0.01,-0.01,0.01,0.03
melodicIC_110,0.01,0.02,0.02,0,0.01,-0.04,-0.02,0.02,0.01,0.01
melodicIC_111,-0.01,-0.01,0.02,-0.01,0.01,0.01,0.02,-0.03,0.01,0.03
melodicIC_112,0.01,0.01,-0.05,-0.01,-0.02,-0.01,0.02,0,-0.01,-0.01
melodicIC_113,0.01,0,0.04,0.03,-0,-0.01,0.03,0,0.05,-0
melodicIC_114,0.01,0.01,-0,0.03,0.03,0.01,0.04,0.01,0.03,0
