TrialNumber,Trialn,Feedback,ITI,Partner,BlockType,Blockn,ran,order,resp,resp_onset,onset,ITIonset,rt,outcome_val,outcome_onset,outcome_offset,trialDuration
1,1,1,8,2,3,1,1.0,0.0,0.0,999,8.0487,0.0366201,999,999.0,10.5679,11.584,3.5353
2,2,1,0.75,2,3,1,1.0,1.0,0.0,999,12.3493,11.5865,999,999.0,14.85,15.8676,3.51828
3,3,1,0.75,2,3,1,1.0,2.0,0.0,999,16.6303,15.8699,999,999.0,19.147,20.1633,3.53302
4,4,1,0.75,2,3,1,1.0,3.0,--,--,--,--,--,--,--,--,--
5,5,2,0.75,2,3,1,0.0,--,--,--,--,--,--,--,--,--,--
6,6,1,0.75,2,3,1,0.0,--,--,--,--,--,--,--,--,--,--
7,7,3,0.75,2,3,1,0.0,--,--,--,--,--,--,--,--,--,--
8,8,1,0.75,2,3,1,0.0,--,--,--,--,--,--,--,--,--,--
9,9,1,10,1,1,2,0.0,--,--,--,--,--,--,--,--,--,--
10,10,1,0.75,1,1,2,0.0,--,--,--,--,--,--,--,--,--,--
11,11,1,0.75,1,1,2,0.0,--,--,--,--,--,--,--,--,--,--
12,12,1,0.75,1,1,2,0.0,--,--,--,--,--,--,--,--,--,--
13,13,3,0.75,1,1,2,0.0,--,--,--,--,--,--,--,--,--,--
14,14,1,0.75,1,1,2,0.0,--,--,--,--,--,--,--,--,--,--
15,15,3,0.75,1,1,2,0.0,--,--,--,--,--,--,--,--,--,--
16,16,1,0.75,1,1,2,0.0,--,--,--,--,--,--,--,--,--,--
17,17,1,8,2,3,3,0.0,--,--,--,--,--,--,--,--,--,--
18,18,1,0.75,2,3,3,0.0,--,--,--,--,--,--,--,--,--,--
19,19,2,0.75,2,3,3,0.0,--,--,--,--,--,--,--,--,--,--
20,20,1,0.75,2,3,3,0.0,--,--,--,--,--,--,--,--,--,--
21,21,2,0.75,2,3,3,0.0,--,--,--,--,--,--,--,--,--,--
22,22,1,0.75,2,3,3,0.0,--,--,--,--,--,--,--,--,--,--
23,23,1,0.75,2,3,3,0.0,--,--,--,--,--,--,--,--,--,--
24,24,1,0.75,2,3,3,0.0,--,--,--,--,--,--,--,--,--,--
25,25,3,10,3,6,4,0.0,--,--,--,--,--,--,--,--,--,--
26,26,3,0.75,3,6,4,0.0,--,--,--,--,--,--,--,--,--,--
27,27,3,0.75,3,6,4,0.0,--,--,--,--,--,--,--,--,--,--
28,28,1,0.75,3,6,4,0.0,--,--,--,--,--,--,--,--,--,--
29,29,3,0.75,3,6,4,0.0,--,--,--,--,--,--,--,--,--,--
30,30,3,0.75,3,6,4,0.0,--,--,--,--,--,--,--,--,--,--
31,31,1,0.75,3,6,4,0.0,--,--,--,--,--,--,--,--,--,--
32,32,3,0.75,3,6,4,0.0,--,--,--,--,--,--,--,--,--,--
33,33,1,10,1,1,5,0.0,--,--,--,--,--,--,--,--,--,--
34,34,2,0.75,1,1,5,0.0,--,--,--,--,--,--,--,--,--,--
35,35,1,0.75,1,1,5,0.0,--,--,--,--,--,--,--,--,--,--
36,36,1,0.75,1,1,5,0.0,--,--,--,--,--,--,--,--,--,--
37,37,1,0.75,1,1,5,0.0,--,--,--,--,--,--,--,--,--,--
38,38,1,0.75,1,1,5,0.0,--,--,--,--,--,--,--,--,--,--
39,39,1,0.75,1,1,5,0.0,--,--,--,--,--,--,--,--,--,--
40,40,2,0.75,1,1,5,0.0,--,--,--,--,--,--,--,--,--,--
41,41,1,8,1,2,6,0.0,--,--,--,--,--,--,--,--,--,--
42,42,3,0.75,1,2,6,0.0,--,--,--,--,--,--,--,--,--,--
43,43,3,0.75,1,2,6,0.0,--,--,--,--,--,--,--,--,--,--
44,44,3,0.75,1,2,6,0.0,--,--,--,--,--,--,--,--,--,--
45,45,2,0.75,1,2,6,0.0,--,--,--,--,--,--,--,--,--,--
46,46,3,0.75,1,2,6,0.0,--,--,--,--,--,--,--,--,--,--
47,47,3,0.75,1,2,6,0.0,--,--,--,--,--,--,--,--,--,--
48,48,3,0.75,1,2,6,0.0,--,--,--,--,--,--,--,--,--,--
49,49,2,8,2,4,7,0.0,--,--,--,--,--,--,--,--,--,--
50,50,3,0.75,2,4,7,0.0,--,--,--,--,--,--,--,--,--,--
51,51,3,0.75,2,4,7,0.0,--,--,--,--,--,--,--,--,--,--
52,52,3,0.75,2,4,7,0.0,--,--,--,--,--,--,--,--,--,--
53,53,2,0.75,2,4,7,0.0,--,--,--,--,--,--,--,--,--,--
54,54,3,0.75,2,4,7,0.0,--,--,--,--,--,--,--,--,--,--
55,55,3,0.75,2,4,7,0.0,--,--,--,--,--,--,--,--,--,--
56,56,3,0.75,2,4,7,0.0,--,--,--,--,--,--,--,--,--,--
57,57,1,8,2,3,8,0.0,--,--,--,--,--,--,--,--,--,--
58,58,1,0.75,2,3,8,0.0,--,--,--,--,--,--,--,--,--,--
59,59,1,0.75,2,3,8,0.0,--,--,--,--,--,--,--,--,--,--
60,60,1,0.75,2,3,8,0.0,--,--,--,--,--,--,--,--,--,--
61,61,3,0.75,2,3,8,0.0,--,--,--,--,--,--,--,--,--,--
62,62,1,0.75,2,3,8,0.0,--,--,--,--,--,--,--,--,--,--
63,63,1,0.75,2,3,8,0.0,--,--,--,--,--,--,--,--,--,--
64,64,2,0.75,2,3,8,0.0,--,--,--,--,--,--,--,--,--,--
65,65,1,12,3,5,9,0.0,--,--,--,--,--,--,--,--,--,--
66,66,1,0.75,3,5,9,0.0,--,--,--,--,--,--,--,--,--,--
67,67,1,0.75,3,5,9,0.0,--,--,--,--,--,--,--,--,--,--
68,68,2,0.75,3,5,9,0.0,--,--,--,--,--,--,--,--,--,--
69,69,1,0.75,3,5,9,0.0,--,--,--,--,--,--,--,--,--,--
70,70,1,0.75,3,5,9,0.0,--,--,--,--,--,--,--,--,--,--
71,71,3,0.75,3,5,9,0.0,--,--,--,--,--,--,--,--,--,--
72,72,1,0.75,3,5,9,0.0,--,--,--,--,--,--,--,--,--,--
73,73,3,12,1,2,10,0.0,--,--,--,--,--,--,--,--,--,--
74,74,3,0.75,1,2,10,0.0,--,--,--,--,--,--,--,--,--,--
75,75,3,0.75,1,2,10,0.0,--,--,--,--,--,--,--,--,--,--
76,76,3,0.75,1,2,10,0.0,--,--,--,--,--,--,--,--,--,--
77,77,2,0.75,1,2,10,0.0,--,--,--,--,--,--,--,--,--,--
78,78,3,0.75,1,2,10,0.0,--,--,--,--,--,--,--,--,--,--
79,79,2,0.75,1,2,10,0.0,--,--,--,--,--,--,--,--,--,--
80,80,3,0.75,1,2,10,0.0,--,--,--,--,--,--,--,--,--,--
81,81,3,10,2,4,11,0.0,--,--,--,--,--,--,--,--,--,--
82,82,1,0.75,2,4,11,0.0,--,--,--,--,--,--,--,--,--,--
83,83,3,0.75,2,4,11,0.0,--,--,--,--,--,--,--,--,--,--
84,84,3,0.75,2,4,11,0.0,--,--,--,--,--,--,--,--,--,--
85,85,3,0.75,2,4,11,0.0,--,--,--,--,--,--,--,--,--,--
86,86,3,0.75,2,4,11,0.0,--,--,--,--,--,--,--,--,--,--
87,87,3,0.75,2,4,11,0.0,--,--,--,--,--,--,--,--,--,--
88,88,1,0.75,2,4,11,0.0,--,--,--,--,--,--,--,--,--,--
89,89,3,8,3,6,12,0.0,--,--,--,--,--,--,--,--,--,--
90,90,3,0.75,3,6,12,0.0,--,--,--,--,--,--,--,--,--,--
91,91,1,0.75,3,6,12,0.0,--,--,--,--,--,--,--,--,--,--
92,92,3,0.75,3,6,12,0.0,--,--,--,--,--,--,--,--,--,--
93,93,3,0.75,3,6,12,0.0,--,--,--,--,--,--,--,--,--,--
94,94,3,0.75,3,6,12,0.0,--,--,--,--,--,--,--,--,--,--
95,95,1,0.75,3,6,12,0.0,--,--,--,--,--,--,--,--,--,--
96,96,3,0.75,3,6,12,0.0,--,--,--,--,--,--,--,--,--,--
97,97,3,10,1,2,13,0.0,--,--,--,--,--,--,--,--,--,--
98,98,3,0.75,1,2,13,0.0,--,--,--,--,--,--,--,--,--,--
99,99,3,0.75,1,2,13,0.0,--,--,--,--,--,--,--,--,--,--
100,100,1,0.75,1,2,13,0.0,--,--,--,--,--,--,--,--,--,--
101,101,3,0.75,1,2,13,0.0,--,--,--,--,--,--,--,--,--,--
102,102,3,0.75,1,2,13,0.0,--,--,--,--,--,--,--,--,--,--
103,103,3,0.75,1,2,13,0.0,--,--,--,--,--,--,--,--,--,--
104,104,2,0.75,1,2,13,0.0,--,--,--,--,--,--,--,--,--,--
105,105,1,8,3,5,14,0.0,--,--,--,--,--,--,--,--,--,--
106,106,1,0.75,3,5,14,0.0,--,--,--,--,--,--,--,--,--,--
107,107,1,0.75,3,5,14,0.0,--,--,--,--,--,--,--,--,--,--
108,108,3,0.75,3,5,14,0.0,--,--,--,--,--,--,--,--,--,--
109,109,1,0.75,3,5,14,0.0,--,--,--,--,--,--,--,--,--,--
110,110,1,0.75,3,5,14,0.0,--,--,--,--,--,--,--,--,--,--
111,111,3,0.75,3,5,14,0.0,--,--,--,--,--,--,--,--,--,--
112,112,1,0.75,3,5,14,0.0,--,--,--,--,--,--,--,--,--,--
113,113,3,8,2,4,15,0.0,--,--,--,--,--,--,--,--,--,--
114,114,3,0.75,2,4,15,0.0,--,--,--,--,--,--,--,--,--,--
115,115,1,0.75,2,4,15,0.0,--,--,--,--,--,--,--,--,--,--
116,116,3,0.75,2,4,15,0.0,--,--,--,--,--,--,--,--,--,--
117,117,3,0.75,2,4,15,0.0,--,--,--,--,--,--,--,--,--,--
118,118,3,0.75,2,4,15,0.0,--,--,--,--,--,--,--,--,--,--
119,119,3,0.75,2,4,15,0.0,--,--,--,--,--,--,--,--,--,--
120,120,1,0.75,2,4,15,0.0,--,--,--,--,--,--,--,--,--,--
121,121,3,12,3,5,16,0.0,--,--,--,--,--,--,--,--,--,--
122,122,1,0.75,3,5,16,0.0,--,--,--,--,--,--,--,--,--,--
123,123,1,0.75,3,5,16,0.0,--,--,--,--,--,--,--,--,--,--
124,124,1,0.75,3,5,16,0.0,--,--,--,--,--,--,--,--,--,--
125,125,3,0.75,3,5,16,0.0,--,--,--,--,--,--,--,--,--,--
126,126,1,0.75,3,5,16,0.0,--,--,--,--,--,--,--,--,--,--
127,127,1,0.75,3,5,16,0.0,--,--,--,--,--,--,--,--,--,--
128,128,1,0.75,3,5,16,0.0,--,--,--,--,--,--,--,--,--,--
129,129,1,8,1,1,17,0.0,--,--,--,--,--,--,--,--,--,--
130,130,1,0.75,1,1,17,0.0,--,--,--,--,--,--,--,--,--,--
131,131,3,0.75,1,1,17,0.0,--,--,--,--,--,--,--,--,--,--
132,132,1,0.75,1,1,17,0.0,--,--,--,--,--,--,--,--,--,--
133,133,3,0.75,1,1,17,0.0,--,--,--,--,--,--,--,--,--,--
134,134,1,0.75,1,1,17,0.0,--,--,--,--,--,--,--,--,--,--
135,135,1,0.75,1,1,17,0.0,--,--,--,--,--,--,--,--,--,--
136,136,1,0.75,1,1,17,0.0,--,--,--,--,--,--,--,--,--,--
137,137,3,10,3,6,18,0.0,--,--,--,--,--,--,--,--,--,--
138,138,3,0.75,3,6,18,0.0,--,--,--,--,--,--,--,--,--,--
139,139,3,0.75,3,6,18,0.0,--,--,--,--,--,--,--,--,--,--
140,140,3,0.75,3,6,18,0.0,--,--,--,--,--,--,--,--,--,--
141,141,3,0.75,3,6,18,0.0,--,--,--,--,--,--,--,--,--,--
142,142,2,0.75,3,6,18,0.0,--,--,--,--,--,--,--,--,--,--
143,143,3,0.75,3,6,18,0.0,--,--,--,--,--,--,--,--,--,--
144,144,2,0.75,3,6,18,0.0,--,--,--,--,--,--,--,--,--,--
